"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";"";"cer93_id";"text";"Cer93.id"
"contenu";"";"cer93_contratinsertion_id";"text";"Cer93.contratinsertion_id"
"contenu";"";"cer93_user_id";"text";"Cer93.user_id"
"contenu";"";"cer93_matricule";"text";"Cer93.matricule"
"contenu";"";"cer93_dtdemrsa";"date";"Cer93.dtdemrsa"
"contenu";"";"cer93_qual";"text";"Cer93.qual"
"contenu";"";"cer93_nom";"text";"Cer93.nom"
"contenu";"";"cer93_nomnai";"text";"Cer93.nomnai"
"contenu";"";"cer93_prenom";"text";"Cer93.prenom"
"contenu";"";"cer93_dtnai";"date";"Cer93.dtnai"
"contenu";"";"cer93_adresse";"text";"Cer93.adresse"
"contenu";"";"cer93_codepos";"text";"Cer93.codepos"
"contenu";"";"cer93_locaadr";"text";"Cer93.locaadr"
"contenu";"";"cer93_sitfam";"text";"Cer93.sitfam"
"contenu";"";"cer93_natlog";"text";"Cer93.natlog"
"contenu";"";"cer93_incoherencesetatcivil";"text";"Incohérence à déclarer"
"contenu";"";"cer93_inscritpe";"text";"Inscrit à PE"
"contenu";"";"cer93_cmu";"text";"CMU"
"contenu";"";"cer93_cmuc";"text";"CMU-C"
"contenu";"";"cer93_nivetu";"text";"Niveau d'étude"
"contenu";"";"cer93_numdemrsa";"text";"Cer93.numdemrsa"
"contenu";"";"cer93_rolepers";"text";"Cer93.rolepers"
"contenu";"";"cer93_identifiantpe";"text";"Cer93.identifiantpe"
"contenu";"";"cer93_positioncer";"text";"Statut CER"
"contenu";"";"cer93_formeci";"text";"Forme du CER"
"contenu";"";"cer93_datesignature";"date";"Date de signature"
"contenu";"";"cer93_autresexps";"text";"Autres expériences, savoirs, connaissances"
"contenu";"";"cer93_isemploitrouv";"text";"Avez-vous trouvé un emploi ?"
"contenu";"";"cer93_metierexerce_id";"text";"Métier exercé"
"contenu";"";"cer93_secteuracti_id";"text";"Secteur d'activité"
"contenu";"";"cer93_naturecontrat_id";"text";"Nature du contrat"
